구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
공중화장실,산성면사무소 화장실,"대구광역시 군위군 산성면 산성가음로 668, 산성면사무소",대구광역시 군위군 산성면 화본리 1164-3,1,3,09:00~18:00,36.123034,128.694774
공중화장실,산성치안센터 화장실,대구광역시 군위군 산성면 산성가음로 706,대구광역시 군위군 산성면 화본리 856-3,2,2,09:00~18:00,36.12612859,128.6956652
공중화장실,산성보건지소 화장실,"대구광역시 군위군 산성면 산성가음로 651, 산성보건지소",대구광역시 군위군 산성면 화본리 1151,2,2,09:00~18:00,36.122025,128.694086
공중화장실,산성우체국 화장실,"대구광역시 군위군 산성면 산성가음로 684, 산성우체국",대구광역시 군위군 산성면 화본리 867-15,2,2,09:00~18:00,36.124416,128.694991
공중화장실,엄마아빠 어렸을적에,대구광역시 군위군 산성면 산성가음로 722,대구광역시 군위군 산성면 화본리 826-1,3,3,,36.127803,128.696667
이동화장실,화본지 중간지점,,대구광역시 군위군 산성면 화전리 1034,1,1,,36.133582,128.700576
이동화장실,백학지 옆,,대구광역시 군위군 산성면 백학리 781-4,1,1,,36.071982,128.698549
공중화장실,박태산트레킹코스 소공원 화장실,,대구광역시 군위군 거매리 30,2,4,,36.153281,128.609037
공중화장실,효령면사무소 화장실,"대구광역시 군위군 효령면 치산효령로 2400, 효령면사무소",대구광역시 군위군 효령면 중구리 204-1 효령면사무소,2,2,,36.156884,128.585479
이동화장실,장기교 옆,,대구광역시 군위군 효령면 장기리 1045-98,1,1,,36.119277,128.579766
공중화장실,중부주유소 화장실,대구광역시 군위군 효령면 경북대로 2656-11,대구광역시 군위군 효령면 중구리 137-6,1,2,07:00~20:00,36.153623,128.58692
공중화장실,오천주유소 화장실,대구광역시 군위군 효령면 효우로 309,대구광역시 군위군 효령면 오천리 89,1,1,,36.185489,128.611178
개방화장실,군위버스터미널 공중화장실,대구광역시 군위군 군위읍 중앙길 10,대구광역시 군위군 군위읍 동부리 670-3,1,2,,36.229681,128.568677
개방화장실,간동유원지 화장실,대구광역시 군위군 효령면 간동유원지길 13,대구광역시 군위군 효령면 성리 715,3,6,,36.17861,128.58426
개방화장실,대율리 공중화장실,대구광역시 군위군 부계면 한티로 2157,대구광역시 군위군 부계면 대율리 666-1,3,6,,36.061301,128.655299
개방화장실,소보보건지소 화장실,대구광역시 군위군 소보면 송원리 703-5번지,대구광역시 군위군 소보면 송원리 703-5,2,2,09:00~18:00,36.255638,128.478681
개방화장실,삼국유사면보건지소 화장실,"대구광역시 군위군 삼국유사면 삼국유사로 448, 삼국유사면보건지소",대구광역시 군위군 삼국유사면 학성리 397-10,2,2,09:00~18:00,36.123365,128.794727
개방화장실,부계보건지소 화장실,"대구광역시 군위군 부계면 창평길 3-1, 부계보건지소",대구광역시 군위군 부계면 창평리 895-1,2,2,09:00~18:00,36.100908,128.664096
개방화장실,군위군 보건소 화장실,대구광역시 군위군 군위읍 중앙길 31-10,대구광역시 군위군 군위읍 서부리 157-1,8,11,09:00~18:00,36.231453,128.566524
개방화장실,군위풋살장,,대구광역시 군위군 군위읍 사직리 341-2,2,2,,36.237759,128.559431
개방화장실,군위양궁장,,대구광역시 군위군 군위읍 하곡리 산 38-1,1,1,09:00~18:00,36.23031,128.581985
개방화장실,생활체육공원화장실1,,대구광역시 군위군 군위읍 서부리 464,2,6,,36.242501,128.562349
개방화장실,생활체육공원화장실3,,대구광역시 군위군 군위읍 서부리 442,1,2,,36.239049,128.562348
개방화장실,생활체육공원화장실4,,대구광역시 군위군 군위읍 서부리 411,1,2,,36.237852,128.562448
이동화장실,내의교,대구광역시 군위군 소보면 내의리 1420-49,대구광역시 군위군 소보면 내의리 1420-49,1,1,09:00~24:00,37.57871896,126.8136575
이동화장실,봉황교,대구광역시 군위군 소보면 봉소리 689-2,대구광역시 군위군 소보면 봉소리 689-2,1,1,09:00~24:00,37.57871896,126.8136575
공중화장실,소보우체국 화장실,대구광역시 군위군 소보면 송원3길 31,대구광역시 군위군 소보면 송원리 695-4 군위소보우체국,2,2,09:00~18:00,37.57871896,126.8136575
공중화장실,소보시장 화장실,대구광역시 군위군 소보면 송원3길 34,대구광역시 군위군 소보면 송원리 722,1,2,09:00~24:00,37.57871896,126.8136575
공중화장실,소보면 화장실,대구광역시 군위군 소보면 송백로 1415,대구광역시 군위군 소보면 송원리 615-3 소보면사무소,2,3,09:00~24:00,37.57871896,126.8136575
공중화장실,소보농협주유소,대구광역시 군위군 소보면 송원3길 15,대구광역시 군위군 소보면 송원리 689-5,1,2,09:00~18:00,37.57871896,126.8136575
개방화장실,부계면주민센터 화장실,대구광역시 군위군 부계면 창평길 3,대구광역시 군위군 부계면 창평리 895-1,3,3,09:00~18:00,36.100911,128.664048
공중화장실,창평1리 공중화장실,대구광역시 군위군 부계면 창평길 22-1,대구광역시 군위군 부계면 창평리 1006,1,1,,36.099158,128.664889
공중화장실,대율리 입구 주차장,대구광역시 군위군 부계면 한티로 2193-5,대구광역시 군위군 부계면 대율리 559,2,3,,36.064626,128.656333
