시간,유형,메시지
"오후 1:30:19","success","[25/1397] 광주도시철도공사 : 변환 성공"
"오후 1:30:19","info","[26/1397] 광주동림동우체국 : 주소 검색 시도[road]-> ""광주광역시 북구 북문대로 238"""
"오후 1:30:19","info","[26/1397] 광주동림동우체국 : 역지오코딩 검증 중..."
"오후 1:30:19","success","[26/1397] 광주동림동우체국 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:19","success","[26/1397] 광주동림동우체국 : 주소 검색 성공[road]"
"오후 1:30:19","info","[26/1397] 광주동림동우체국 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주동림동우체국"""
"오후 1:30:19","success","[26/1397] 광주동림동우체국 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (1m)"
"오후 1:30:19","info","[26/1397] 광주동림동우체국 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:19","warning","[26/1397] 광주동림동우체국 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:19","success","[26/1397] 광주동림동우체국 : 변환 성공"
"오후 1:30:19","info","[27/1397] 광주두암1동우체국 : 주소 검색 시도[road]-> ""광주광역시 북구 군왕로 95-1"""
"오후 1:30:19","info","[27/1397] 광주두암1동우체국 : 역지오코딩 검증 중..."
"오후 1:30:19","success","[27/1397] 광주두암1동우체국 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:19","success","[27/1397] 광주두암1동우체국 : 주소 검색 성공[road]"
"오후 1:30:19","info","[27/1397] 광주두암1동우체국 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주두암1동우체국"""
"오후 1:30:20","success","[27/1397] 광주두암1동우체국 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (0m)"
"오후 1:30:20","success","[27/1397] 광주두암1동우체국 : 변환 성공"
"오후 1:30:20","info","[28/1397] 광주두암동우체국 : 주소 검색 시도[road]-> ""광주광역시 북구 동문대로 160"""
"오후 1:30:20","info","[28/1397] 광주두암동우체국 : 역지오코딩 검증 중..."
"오후 1:30:20","success","[28/1397] 광주두암동우체국 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:20","success","[28/1397] 광주두암동우체국 : 주소 검색 성공[road]"
"오후 1:30:20","info","[28/1397] 광주두암동우체국 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주두암동우체국"""
"오후 1:30:20","success","[28/1397] 광주두암동우체국 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (0m)"
"오후 1:30:20","success","[28/1397] 광주두암동우체국 : 변환 성공"
"오후 1:30:20","info","[29/1397] 두물머리 : 주소 검색 시도[jibun]-> ""광주광역시 북구 우산동 555-5"""
"오후 1:30:20","info","[29/1397] 두물머리 : 역지오코딩 검증 중..."
"오후 1:30:20","success","[29/1397] 두물머리 : 역지오코딩 검증[GOOD] - 동일 북구 "
"오후 1:30:20","success","[29/1397] 두물머리 : 주소 검색 성공[jibun]"
"오후 1:30:20","info","[29/1397] 두물머리 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 두물머리"""
"오후 1:30:21","info","[29/1397] 두물머리 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 1:30:21","success","[29/1397] 두물머리 : 변환 성공"
"오후 1:30:21","info","[30/1397] 산월교좌 : 주소 검색 시도[jibun]-> ""광주광역시 북구 양산동 254-94"""
"오후 1:30:21","info","[30/1397] 산월교좌 : 역지오코딩 검증 중..."
"오후 1:30:21","success","[30/1397] 산월교좌 : 역지오코딩 검증[GOOD] - 동일 북구 "
"오후 1:30:21","success","[30/1397] 산월교좌 : 주소 검색 성공[jibun]"
"오후 1:30:21","info","[30/1397] 산월교좌 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 산월교좌"""
